id_user,nilai_biologi,nilai_fisika,nilai_kimia,nilai_matematika,nilai_kmb,nilai_kpu,nilai_kua,nilai_ppu,jurusan_tujuan,universitas_tujuan,kategori_jurusan
4,400,400,400,400,400,400,400,400,SEKOLAH ILMU & TEKNOLOGI HAYATI - PROGRAM SAINS,INSTITUT TEKNOLOGI BANDUNG,Science
14,816,666,651,695,678,685,706,562,PENDIDIKAN DOKTER,UNIVERSITAS INDONESIA,Kesehatan
19,562,839,624,551,700,781,464,668,ILMU DAN TEKNOLOGI PANGAN,UNIVERSITAS BRAWIJAYA,Science
23,700,669,692,507,679,692,813,573,FAKULTAS TEKNIK MESIN & DIRGANTARA (FTMD),INSTITUT TEKNOLOGI BANDUNG,Teknik
28,461,619,441,666,593,563,500,370,TEKNIK PERANGKAT LUNAK (TEKNOLOGI INFORMATIKA),UNIVERSITAS PALANGKARAYA,Teknologi
29,516,503,410,479,717,614,641,512,PENDIDIKAN DOKTER,UNIVERSITAS UDAYANA,Kesehatan
33,675,584,578,478,670,647,706,590,BIOKIMIA,INSTITUT PERTANIAN BOGOR,Teknik
37,641,567,600,529,627,553,597,691,AGROTEKNOLOGI / AGROEKOTEKNOLOGI,UNIVERSITAS SEBELAS MARET,Science
39,440,410,554,649,645,587,502,447,PENDIDIKAN DOKTER GIGI,UNIVERSITAS HASANUDDIN,Kesehatan
43,438,459,532,535,524,442,654,537,PENDIDIKAN DOKTER,UNIVERSITAS INDONESIA,Kesehatan
45,513,501,474,415,479,445,430,465,PENDIDIKAN DOKTER,UNIVERSITAS HASANUDDIN,Kesehatan
46,501,632,563,559,492,507,566,410,TEKNIK INDUSTRI,UNIVERSITAS HASANUDDIN,Teknik
49,585,632,762,602,704,766,815,542,AKTUARIA,UNIVERSITAS INDONESIA,Bisnis
60,751,533,596,464,314,498,603,488,PSIKOLOGI,UNIVERSITAS HASANUDDIN,Sosial
65,622,746,834,688,624,737,738,715,FAKULTAS TEKNOLOGI INDUSTRI (FTI) - KAMPUS GANESA,INSTITUT TEKNOLOGI BANDUNG,Teknik
101,558,502,720,503,475,612,394,567,ILMU AKTUARIA,UNIVERSITAS PADJADJARAN,Bisnis
110,665,720,553,432,761,680,760,724,KEDOKTERAN,UNIVERSITAS DIPONEGORO,Kesehatan
112,665,450,466,552,652,507,390,549,PENDIDIKAN DOKTER,UNIVERSITAS MALIKUSSALEH,Kesehatan
118,653,535,491,574,593,597,524,608,KESELAMATAN DAN KESEHATAN KERJA,UNIVERSITAS INDONESIA,Kesehatan
120,619,550,731,527,617,532,718,607,TEKNOLOGI INDUSTRI PERTANIAN,UNIVERSITAS PADJADJARAN,Science
133,465,546,479,557,564,550,564,535,ILMU KESEHATAN MASYARAKAT,UNIVERSITAS CENDERAWASIH,Kesehatan
134,400,500,740,490,475,587,497,587,PENDIDIKAN DOKTER GIGI,UNIVERSITAS HASANUDDIN,Kesehatan
145,480,564,547,497,617,600,571,475,TEKNIK PENGEMB. WILAYAH KOTA,UNIVERSITAS HASANUDDIN,Teknik
146,415,495,635,537,448,513,534,570,SEKOLAH TEKNOLOGI ELEKTRO & INFORMATIKA (STEI),INSTITUT TEKNOLOGI BANDUNG,Teknologi
155,649,649,649,649,649,649,649,649,TEKNIK INFORMATIKA,UNIVERSITAS HASANUDDIN,Teknologi
156,518,537,454,627,575,511,467,475,PENDIDIKAN BIOLOGI,UNIVERSITAS SEBELAS MARET,Pendidikan
160,531,632,761,714,589,642,718,663,TEKNIK MESIN,UNIVERSITAS INDONESIA,Teknik
163,610,585,839,716,682,699,648,579,PENDIDIKAN DOKTER,UNIVERSITAS AIRLANGGA,Kesehatan
164,717,489,594,395,719,635,677,696,KEDOKTERAN HEWAN,UNIVERSITAS UDAYANA,Kesehatan
170,478,557,543,625,553,521,546,578,TEKNOLOGI INDUSTRI PERTANIAN,UNIVERSITAS PADJADJARAN,Science
172,504,491,639,381,682,649,666,496,KIMIA,UNIVERSITAS ISLAM NEGERI JAKARTA,Teknik
177,589,712,771,681,666,753,732,714,FAKULTAS TEKNIK PERTAMB. & PERMINYAKAN (FTTM),INSTITUT TEKNOLOGI BANDUNG,Teknik
192,766,676,751,444,632,568,834,703,PENDIDIKAN DOKTER,UNIVERSITAS INDONESIA,Kesehatan
